epoch,accuracy,loss
0,0.9732373356819153,0.024472467601299286
1,0.9981542825698853,0.002141988603398204
2,0.999261736869812,0.0012802513083443046
3,0.999261736869812,0.0006896210252307355
4,0.9994462728500366,0.0004865310911554843
5,0.9998154044151306,0.000288879411527887
6,1.0,0.00018829316832125187
7,1.0,2.5901752451318316e-05
8,1.0,4.727397026726976e-05
9,1.0,9.320119715994224e-06
10,1.0,1.3527721421269234e-05
11,1.0,3.059031996599515e-06
12,1.0,7.911836519269855e-07
13,1.0,4.316909212320752e-07
14,1.0,6.262161633685537e-08
15,1.0,2.4842815804504426e-08
16,1.0,6.7947203419294055e-09
17,1.0,4.996327351847185e-09
18,1.0,3.795066039202766e-09
19,1.0,1.8412849023263789e-09
20,1.0,1.2804269866606433e-09
21,1.0,8.606307888570086e-10
22,1.0,6.633965599078806e-10
23,1.0,4.881134940681875e-10
24,1.0,3.9526629191932727e-10
25,1.0,3.226449940552101e-10
26,1.0,2.668164023056363e-10
27,1.0,2.2834360791090802e-10
28,1.0,1.9651592852998334e-10
29,1.0,1.727843285115327e-10
30,1.0,1.540541305633525e-10
31,1.0,1.3903604656473334e-10
32,1.0,1.26884294737728e-10
33,1.0,1.165135210534629e-10
34,1.0,1.0861937044248648e-10
35,1.0,1.0157865520943332e-10
36,1.0,9.604954331887683e-11
37,1.0,9.103479775562917e-11
38,1.0,8.69024782690353e-11
39,1.0,8.329443385024504e-11
