epoch,accuracy,loss
0,0.6745370626449585,0.23230981826782227
1,0.885185182094574,0.10156875103712082
2,0.9393518567085266,0.06196330115199089
3,0.9699074029922485,0.039105236530303955
4,0.9847221970558167,0.02489013969898224
5,0.9930555820465088,0.014239056967198849
6,0.9949073791503906,0.009341070428490639
7,0.9981481432914734,0.005535690579563379
8,0.9986110925674438,0.00351262791082263
9,1.0,0.0013318548444658518
10,1.0,0.0009985507931560278
11,1.0,0.00048713386058807373
12,1.0,0.00022397386783268303
13,1.0,8.584985334891826e-05
14,1.0,4.504164826357737e-05
15,1.0,2.7491078071761876e-05
16,1.0,1.290333329961868e-05
17,1.0,3.880337771988707e-06
18,1.0,9.085493388738541e-07
19,1.0,5.352419520932017e-07
20,1.0,3.0982232601672877e-07
21,1.0,2.5303640427409846e-07
22,1.0,1.7173771027501061e-07
23,1.0,1.470120167823552e-07
24,1.0,1.1539303557128733e-07
25,1.0,9.827213887092512e-08
26,1.0,8.371694804054641e-08
27,1.0,7.331428264478745e-08
28,1.0,6.585725031982292e-08
29,1.0,5.885522824655709e-08
30,1.0,5.4485056466546666e-08
31,1.0,5.0050694255787676e-08
32,1.0,4.6964583333419796e-08
33,1.0,4.417772458964464e-08
34,1.0,4.213964999166819e-08
35,1.0,4.029058686683129e-08
36,1.0,3.880806431766359e-08
37,1.0,3.732999687144911e-08
38,1.0,3.592959529896689e-08
39,1.0,3.507592438722895e-08
