epoch,accuracy,loss
0,0.6726852059364319,0.23305334150791168
1,0.9296296238899231,0.08917129039764404
2,0.9699074029922485,0.04931963235139847
3,0.9912037253379822,0.028252262622117996
4,0.9958333373069763,0.014733083546161652
5,0.9995370507240295,0.008555731736123562
6,0.9995370507240295,0.0043880934827029705
7,0.9995370507240295,0.00247508124448359
8,1.0,0.0015748441219329834
9,1.0,0.0007400368922390044
10,1.0,0.0002896855876315385
11,1.0,0.00014923264097888023
12,1.0,6.194040906848386e-05
13,1.0,2.2772495867684484e-05
14,1.0,1.0420624676044099e-05
15,1.0,3.0692315249325475e-06
16,1.0,1.0328608368581627e-06
17,1.0,1.7466179258462944e-07
18,1.0,4.744284964885992e-08
19,1.0,2.3037053153984743e-08
20,1.0,1.268001170728894e-08
21,1.0,8.344979818275533e-09
22,1.0,5.9566054311233074e-09
23,1.0,4.486350846377718e-09
24,1.0,3.469424303403912e-09
25,1.0,2.8352167280587537e-09
26,1.0,2.345571514794642e-09
27,1.0,2.006708132995527e-09
28,1.0,1.7386744266545406e-09
29,1.0,1.538117633259617e-09
30,1.0,1.372530533672034e-09
31,1.0,1.2406925486985187e-09
32,1.0,1.1411726008603296e-09
33,1.0,1.0576832742970055e-09
34,1.0,9.841283343803298e-10
35,1.0,9.25186316447224e-10
36,1.0,8.742575552389553e-10
37,1.0,8.318558064601689e-10
38,1.0,7.965703652246248e-10
39,1.0,7.646364652558191e-10
