epoch,accuracy,loss
0,0.5574073791503906,0.2723861634731293
1,0.9157407283782959,0.08626672625541687
2,0.9731481671333313,0.03227768465876579
3,0.9837962985038757,0.015860114246606827
4,0.987500011920929,0.0113695552572608
5,0.9925925731658936,0.005624180659651756
6,0.9953703880310059,0.004436048213392496
7,0.9986110925674438,0.0018201416824012995
8,0.9995370507240295,0.001386371674016118
9,0.9995370507240295,0.0006626202375628054
10,1.0,0.00024587049847468734
11,1.0,0.0002157131675630808
12,1.0,0.00015350396279245615
13,1.0,6.0088754253229126e-05
14,1.0,1.711044205876533e-05
15,1.0,1.0196357834502123e-05
16,1.0,5.505042395270721e-07
17,1.0,1.4020012883975141e-07
18,1.0,4.16369445588316e-08
19,1.0,3.1703284442130553e-10
20,1.0,2.1953126816409707e-11
21,1.0,4.357853921471699e-12
22,1.0,1.1155417952227187e-12
23,1.0,3.427233811418434e-13
24,1.0,1.2873452033112381e-13
25,1.0,5.492480114385051e-14
26,1.0,2.6363697195382757e-14
27,1.0,1.4215789529152707e-14
28,1.0,8.079558445623757e-15
29,1.0,5.217431575752635e-15
30,1.0,3.4706804436830533e-15
31,1.0,2.640595990428601e-15
32,1.0,2.127117841539466e-15
33,1.0,1.6367565982094404e-15
34,1.0,1.2387210990971861e-15
35,1.0,1.1040679538348148e-15
36,1.0,1.0322118195786275e-15
37,1.0,9.47595875125883e-16
38,1.0,7.304856076955225e-16
39,1.0,7.621604047580971e-16
