epoch,accuracy,loss
0,0.6111111044883728,0.2522684931755066
1,0.8805555701255798,0.09365810453891754
2,0.9449074268341064,0.04963426664471626
3,0.9666666388511658,0.0282454676926136
4,0.9833333492279053,0.01590399071574211
5,0.9884259104728699,0.012142048217356205
6,0.9930555820465088,0.00695926183834672
7,0.9972222447395325,0.004054618533700705
8,0.9972222447395325,0.003060891991481185
9,0.9981481432914734,0.0018212174763903022
10,0.9990741014480591,0.0013757203705608845
11,1.0,0.0008909545140340924
12,0.9990741014480591,0.0010432825656607747
13,1.0,0.0002449346939101815
14,1.0,0.00026843196246773005
15,1.0,8.371655712835491e-05
16,1.0,2.5063007342396304e-05
17,1.0,1.0451193702465389e-05
18,1.0,2.106643250954221e-06
19,1.0,3.121740519418381e-06
20,1.0,4.099092905107682e-07
21,1.0,7.761219933399843e-08
22,1.0,2.5605968456687833e-09
23,1.0,1.2246809122373747e-10
24,1.0,1.7630112647548657e-11
25,1.0,3.457186793787148e-12
26,1.0,8.80489691573727e-13
27,1.0,2.748086860068083e-13
28,1.0,1.0112939131945442e-13
29,1.0,4.372533829151773e-14
30,1.0,2.1697380830497555e-14
31,1.0,1.2182359037293724e-14
32,1.0,7.168262802727168e-15
33,1.0,4.768459220961651e-15
34,1.0,3.3037872127449335e-15
35,1.0,2.4416296451844604e-15
36,1.0,1.9371978081720014e-15
37,1.0,1.646843701820055e-15
38,1.0,1.2924460696009214e-15
39,1.0,1.0980927716666461e-15
